feature,importance
std_feat1,0.052289863896767486
mean_feat5,0.051132409964024614
max_feat4,0.04944689723307622
max_feat5,0.04658200296472965
mean_feat4,0.0464146334005185
mean_feat6,0.04575320752147886
min_feat2,0.04545300319203452
mean_feat2,0.0437043078584393
max_feat1,0.04028392334798248
mean_feat3,0.038304141916226234
std_feat6,0.03756087094509596
min_feat5,0.0369175716996379
std_feat5,0.03687108800054352
min_feat3,0.03340192053709535
mean_feat7,0.03294937750372327
min_feat1,0.032223704347188124
max_feat6,0.031849189174827784
std_feat4,0.03126303887317079
min_feat6,0.031160283449547452
std_feat3,0.030506309174055644
std_feat2,0.028895009693168335
std_feat7,0.028126456330933868
max_feat3,0.02795949063105865
min_feat7,0.026779514655967927
mean_feat1,0.025957334005612197
min_feat4,0.024560682394100468
max_feat2,0.022145241109161988
max_feat7,0.02150852617983288
