feature,importance
mean_feat5,0.03430975348991494
std_feat1,0.03201485698361342
median_feat5,0.030687686966834316
median_feat3,0.0302453637644592
min_feat2,0.02981666820895408
max_feat6,0.029771032949980496
mean_feat3,0.028843511598519445
mean_feat4,0.026401058596298068
mean_feat6,0.026306122997625952
min_feat5,0.026282583243841487
median_feat2,0.026254587020308
range_feat2,0.026094852935496276
min_feat6,0.025968442567323936
median_feat1,0.025921821429647884
max_feat4,0.025530649492391796
range_feat6,0.025300749978287906
range_feat5,0.024311042798826097
median_feat4,0.024087929244249615
min_feat1,0.023802055603458765
range_feat1,0.023383565901431935
max_feat1,0.02334909304233466
std_feat6,0.02318875817225757
max_feat5,0.023008465915710662
range_feat4,0.022651104521246048
std_feat5,0.022614578186976098
mean_feat1,0.021881259282389456
mean_feat7,0.02161483823441769
max_feat7,0.021556748805881924
median_feat6,0.021458285041296196
max_feat3,0.02109288712420102
min_feat3,0.020925013529873464
std_feat2,0.02048665722408031
median_feat7,0.020318291847548898
mean_feat2,0.020117328168691433
std_feat4,0.020018428185386048
min_feat7,0.019451689119596622
range_feat7,0.01919944369273789
std_feat7,0.019173353365500016
range_feat3,0.019040653444160477
min_feat4,0.018430386527708714
std_feat3,0.01810574675737838
max_feat2,0.01698265403916296
